seq_len,latency(ms),tested_total_seqlen,tp,cp,gpu_type,op,hqo,hkv,d
16,0.01098309364169836,32768,1,1,H100,attn,64,4,128
32,0.011386780999600887,32768,1,1,H100,attn,64,4,128
64,0.012257750146090984,32768,1,1,H100,attn,64,4,128
128,0.013232000172138214,32768,1,1,H100,attn,64,4,128
256,0.024763749912381172,32768,1,1,H100,attn,64,4,128
512,0.07266700267791748,32768,1,1,H100,attn,64,4,128
1024,0.21203799545764923,32768,1,1,H100,attn,64,4,128
2048,0.745311975479126,32768,1,1,H100,attn,64,4,128
4096,2.816744089126587,32768,1,1,H100,attn,64,4,128
8192,10.10856819152832,32768,1,1,H100,attn,64,4,128
16384,37.45017623901367,32768,1,1,H100,attn,64,4,128
32768,150.11590576171875,32768,1,1,H100,attn,64,4,128
