gpu_type,world_size,op,nelem,dtype,latency(ms),throughput(nelem_per_ms)
H100,8,allgather,32,fp16,0.14,228.3
H100,8,allgather,64,fp16,0.13,493.5
H100,8,allgather,128,fp16,0.22,574.4
H100,8,allgather,256,fp16,0.13,1912.2
H100,8,allgather,512,fp16,0.20,2600.5
H100,8,allgather,1024,fp16,0.12,8413.5
H100,8,allgather,2048,fp16,0.21,9643.5
H100,8,allgather,4096,fp16,0.18,22588.5
H100,8,allgather,8192,fp16,0.14,60370.2
H100,8,allgather,16384,fp16,0.17,95515.3
H100,8,allgather,32768,fp16,0.14,239492.9
H100,8,allgather,65536,fp16,1.46,44912.6
H100,8,allgather,131072,fp16,0.86,152451.8
H100,8,allgather,262144,fp16,0.57,457850.6
H100,8,allgather,524288,fp16,0.72,727069.4
H100,8,allgather,1048576,fp16,1.14,922519.9
H100,8,allgather,2097152,fp16,1.16,1801622.5
H100,8,allgather,4194304,fp16,1.27,3293233.3
H100,8,allgather,8388608,fp16,1.37,6130374.5
H100,8,allgather,16777216,fp16,1.68,9982179.6
H100,8,allgather,33554432,fp16,2.50,13403740.9
H100,8,allgather,67108864,fp16,4.01,16720966.8
H100,8,allgather,134217728,fp16,7.65,17550629.7
H100,8,allgather,268435456,fp16,13.25,20253269.2
H100,8,allgather,536870912,fp16,25.87,20750501.6
H100,8,allgather,1073741824,fp16,109.26,9827266.1
H100,8,allgather,2147483648,fp16,304.80,7045444.5
H100,8,allgather,4294967296,fp16,969.17,4431599.0
